Device,Supply,I/O Pin
128,VDDIOB, PA08, PA09
128,VDDIO,PA12, PA13, PA16, PA17, PA22, PA23, PD08, PD09
120,VDDIOB, PA08, PA09
120,VDDIO, PA12, PA13, PA16, PA17, PA22, PA23, PD08, PD09
100,VDDIOB, PA08, PA09
100,VDDIO, PA12, PA13, PA16, PA17, PA22, PA23
64,VDDIOB, PA08, PA09
64,VDDIO, PA12, PA13, PA16, PA17, PA22, PA23
48,VDDIO, PA08, PA09, PA12, PA13, PA16, PA17, PA22, PA23
